"","Changing","Chevron","Cigar","Circle","Cross","Cylinder","Diamond","Disk","Egg","Fireball","Flash","Formation","Light","Other","Oval","Rectangle","Sphere","Teardrop","Triangle","Unknown"
"AK",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"AL",0,0,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1
"AR",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"AZ",2,0,0,2,0,0,1,0,0,5,0,0,2,1,1,0,0,0,4,4
"CA",1,1,1,5,0,3,2,3,1,4,3,0,14,4,1,0,6,0,1,5
"CO",0,0,0,3,0,1,0,1,0,1,0,1,5,1,1,0,2,1,0,0
"CT",0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0
"DE",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FL",0,1,0,5,0,2,0,1,1,2,0,0,7,1,1,0,2,1,3,4
"GA",1,0,1,1,0,1,0,0,0,1,1,3,1,1,0,0,1,0,0,1
"HI",0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"IA",0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0
"ID",0,0,0,1,0,0,0,0,0,2,0,0,5,0,1,0,1,0,0,3
"IL",0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,1,1,0,0,0
"IN",0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
"KS",1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2
"KY",0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0
"LA",1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1
"MA",1,0,0,1,0,0,0,0,0,2,0,1,8,0,0,1,3,0,0,1
"MD",1,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,1,2,0,1
"ME",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"MI",0,0,0,3,0,0,0,0,1,0,0,0,3,1,0,0,1,0,1,0
"MN",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3
"MO",0,0,0,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0
"MS",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"MT",0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"NC",0,0,0,2,0,0,0,0,0,1,0,0,3,0,1,0,3,0,1,0
"ND",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"NE",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"NH",0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,2
"NJ",0,0,0,1,0,0,1,0,0,1,0,0,2,0,1,0,1,0,1,1
"NM",0,0,0,7,0,0,0,1,0,0,1,1,4,0,0,0,0,1,2,1
"NV",2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,1
"NY",1,0,0,4,0,1,0,1,1,4,2,0,5,2,1,1,1,0,2,2
"OH",2,0,0,3,2,0,1,0,0,2,1,0,2,2,1,0,0,0,5,2
"OK",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
"OR",0,0,0,1,0,1,0,0,0,3,1,0,1,0,0,0,1,0,1,2
"PA",1,0,1,3,0,0,0,2,1,8,2,0,10,1,0,0,0,0,4,2
"SC",0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,1,1
"SD",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"TN",0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,2
"TX",2,1,1,3,0,0,1,1,0,0,0,0,2,4,0,0,0,0,1,0
"UT",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA",0,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
"VT",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"WA",1,0,0,5,0,0,2,1,1,3,0,1,11,0,2,1,3,1,3,2
"WI",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
"WV",0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
